dataset,protocol,heldout_group,model,decision_policy,train_normal_count,val_normal_count,test_normal_count,test_fault_count,p50,p90,p95,p99,roc_auc,pr_auc,precision,recall,f1,false_alarm_rate,miss_rate,uncertain_rate,mean_health_normal,mean_health_fault,normal_state_rate,warning_state_rate,fault_state_rate,tn,fp,fn,tp
CWRU,fault-size-wise,021,iforest,hard_val_p95,2118,530,662,299,0.43030131965090684,0.5075996207918936,0.533549260601525,0.5919143852003028,0.988370095686528,0.955490934866486,0.8688046647230321,0.9966555183946488,0.9283489096573209,0.06797583081570997,0.0033444816053511705,0.05931321540062435,0.1037433888264302,0.9742569828151388,0.6201873048907388,0.05931321540062435,0.32049947970863685,617,45,1,298
CWRU,fault-size-wise,021,iforest,fuzzy_warning_as_alarm_hi50,2118,530,662,299,0.43030131965090684,0.5075996207918936,0.533549260601525,0.5919143852003028,0.988370095686528,0.955490934866486,0.8688046647230321,0.9966555183946488,0.9283489096573209,0.06797583081570997,0.0033444816053511705,0.05931321540062435,0.1037433888264302,0.9742569828151388,0.6201873048907388,0.05931321540062435,0.32049947970863685,617,45,1,298
CWRU,fault-size-wise,021,iforest,fuzzy_fault_only_hi75,2118,530,662,299,0.43030131965090684,0.5075996207918936,0.533549260601525,0.5919143852003028,0.988370095686528,0.955490934866486,0.9285714285714286,0.9565217391304348,0.942339373970346,0.03323262839879154,0.043478260869565216,0.05931321540062435,0.1037433888264302,0.9742569828151388,0.6201873048907388,0.05931321540062435,0.32049947970863685,640,22,13,286
CWRU,file-wise,fold1,iforest,hard_val_p95,1890,473,947,211,0.43653395814013823,0.5206789816800609,0.5607463330683652,0.636865777218127,0.95502384681984,0.8364975935917274,0.7908163265306123,0.7345971563981043,0.7616707616707616,0.04329461457233368,0.26540284360189575,0.07772020725388601,0.08306824608051078,0.7630756469168558,0.7858376511226253,0.07772020725388601,0.13644214162348878,906,41,56,155
CWRU,file-wise,fold1,iforest,fuzzy_warning_as_alarm_hi50,1890,473,947,211,0.43653395814013823,0.5206789816800609,0.5607463330683652,0.636865777218127,0.95502384681984,0.8364975935917274,0.7908163265306123,0.7345971563981043,0.7616707616707616,0.04329461457233368,0.26540284360189575,0.07772020725388601,0.08306824608051078,0.7630756469168558,0.7858376511226253,0.07772020725388601,0.13644214162348878,906,41,56,155
CWRU,file-wise,fold1,iforest,fuzzy_fault_only_hi75,1890,473,947,211,0.43653395814013823,0.5206789816800609,0.5607463330683652,0.636865777218127,0.95502384681984,0.8364975935917274,0.9050632911392406,0.6777251184834123,0.7750677506775068,0.01583949313621964,0.3222748815165877,0.07772020725388601,0.08306824608051078,0.7630756469168558,0.7858376511226253,0.07772020725388601,0.13644214162348878,932,15,68,143
CWRU,file-wise,fold2,iforest,hard_val_p95,2268,567,475,213,0.4333584218654771,0.5096364359932098,0.5339920819829338,0.6118838629472975,0.9543760810476897,0.8897255626793037,0.7470817120622568,0.9014084507042254,0.8170212765957446,0.1368421052631579,0.09859154929577464,0.1511627906976744,0.18801818471197443,0.8568003484360599,0.5726744186046512,0.1511627906976744,0.2761627906976744,410,65,21,192
CWRU,file-wise,fold2,iforest,fuzzy_warning_as_alarm_hi50,2268,567,475,213,0.4333584218654771,0.5096364359932098,0.5339920819829338,0.6118838629472975,0.9543760810476897,0.8897255626793037,0.7470817120622568,0.9014084507042254,0.8170212765957446,0.1368421052631579,0.09859154929577464,0.1511627906976744,0.18801818471197443,0.8568003484360599,0.5726744186046512,0.1511627906976744,0.2761627906976744,410,65,21,192
CWRU,file-wise,fold2,iforest,fuzzy_fault_only_hi75,2268,567,475,213,0.4333584218654771,0.5096364359932098,0.5339920819829338,0.6118838629472975,0.9543760810476897,0.8897255626793037,0.8368421052631579,0.7464788732394366,0.7890818858560794,0.06526315789473684,0.2535211267605634,0.1511627906976744,0.18801818471197443,0.8568003484360599,0.5726744186046512,0.1511627906976744,0.2761627906976744,444,31,54,159
CWRU,file-wise,fold3,iforest,hard_val_p95,1893,473,944,207,0.4303232728230629,0.5046962146684284,0.5380934351474619,0.6206166828319474,0.9887491812003603,0.9211125445058623,0.8007968127490039,0.9710144927536232,0.8777292576419214,0.05296610169491525,0.028985507246376812,0.07993049522154648,0.09732068075631056,0.9349223696938737,0.7402258905299739,0.07993049522154648,0.17984361424847958,894,50,6,201
