training_mode,seed,clients_by,calibration_scope,model,client_id,decision_policy,f1,false_alarm_rate,miss_rate,uncertain_rate,mean_health_normal,mean_health_fault,health_gap
centralized,42,bearing,adaptive,cnn-ae,test3_bearing1,fuzzy_warning_as_alarm_hi50,0.7240409031638185,0.0,0.43255163511187605,0.0057361376673040155,0.02744615916178239,0.5931975199893119,0.5657513608275295
centralized,42,bearing,adaptive,cnn-ae,test3_bearing1,fuzzy_fault_only_hi75,0.7221993127147767,0.0,0.4348106712564544,0.0057361376673040155,0.02744615916178239,0.5931975199893119,0.5657513608275295
centralized,42,bearing,client_specific,cnn-ae,test3_bearing3,hard_val_p95,0.6227217272357574,0.0461133069828722,0.5470094664371773,0.07529326649785541,0.11004724389451036,0.4623771838807611,0.35232993998625073
centralized,42,bearing,client_specific,cnn-ae,test3_bearing3,fuzzy_warning_as_alarm_hi50,0.6227217272357574,0.0461133069828722,0.5470094664371773,0.07529326649785541,0.11004724389451036,0.4623771838807611,0.35232993998625073
centralized,42,bearing,client_specific,cnn-ae,test3_bearing3,fuzzy_fault_only_hi75,0.5892518759948457,0.026350461133069828,0.5818631669535284,0.07529326649785541,0.11004724389451036,0.4623771838807611,0.35232993998625073
centralized,42,bearing,pooled,cnn-ae,test3_bearing3,hard_val_p95,0.47262271513657833,0.0,0.690565834767642,0.049248100873339876,0.13584602862565598,0.3528000984720271,0.2169540698463711
centralized,42,bearing,pooled,cnn-ae,test3_bearing3,fuzzy_warning_as_alarm_hi50,0.47262271513657833,0.0,0.690565834767642,0.049248100873339876,0.13584602862565598,0.3528000984720271,0.2169540698463711
centralized,42,bearing,pooled,cnn-ae,test3_bearing3,fuzzy_fault_only_hi75,0.44431428332357126,0.0,0.7143932874354562,0.049248100873339876,0.13584602862565598,0.3528000984720271,0.2169540698463711
centralized,42,bearing,adaptive,cnn-ae,test3_bearing3,hard_val_p95,0.5511277316816642,0.006587615283267457,0.6195137693631669,0.050850085266911274,0.10662590514213126,0.4140120860615161,0.30738618091938485
centralized,42,bearing,adaptive,cnn-ae,test3_bearing3,fuzzy_warning_as_alarm_hi50,0.5511277316816642,0.006587615283267457,0.6195137693631669,0.050850085266911274,0.10662590514213126,0.4140120860615161,0.30738618091938485
centralized,42,bearing,adaptive,cnn-ae,test3_bearing3,fuzzy_fault_only_hi75,0.5341898868876365,0.005270092226613966,0.6354883820998278,0.050850085266911274,0.10662590514213126,0.4140120860615161,0.30738618091938485
fedavg,42,bearing,client_specific,cnn-ae,test1_bearing1,hard_val_p95,0.1541513738716397,0.06201550387596899,0.9164156626506024,0.08838196286472148,0.1280705211522813,0.15965668054621748,0.03158615939393619
fedavg,42,bearing,client_specific,cnn-ae,test1_bearing1,fuzzy_warning_as_alarm_hi50,0.1541513738716397,0.06201550387596899,0.9164156626506024,0.08838196286472148,0.1280705211522813,0.15965668054621748,0.03158615939393619
fedavg,42,bearing,client_specific,cnn-ae,test1_bearing1,fuzzy_fault_only_hi75,0.10694479776138387,0.046511627906976744,0.9434703098106713,0.08838196286472148,0.1280705211522813,0.15965668054621748,0.03158615939393619
fedavg,42,bearing,pooled,cnn-ae,test1_bearing1,hard_val_p95,0.23248528574140878,0.10465116279069768,0.868276678141136,0.1470557029177719,0.17259024847076124,0.21185393947848202,0.039263691007720786
fedavg,42,bearing,pooled,cnn-ae,test1_bearing1,fuzzy_warning_as_alarm_hi50,0.23248528574140878,0.10465116279069768,0.868276678141136,0.1470557029177719,0.17259024847076124,0.21185393947848202,0.039263691007720786
fedavg,42,bearing,pooled,cnn-ae,test1_bearing1,fuzzy_fault_only_hi75,0.13557793476627086,0.05426356589147287,0.9272267641996558,0.1470557029177719,0.17259024847076124,0.21185393947848202,0.039263691007720786
fedavg,42,bearing,adaptive,cnn-ae,test1_bearing1,hard_val_p95,0.2017772626291896,0.09689922480620156,0.8876398450946644,0.126684350132626,0.15730472518507826,0.1935055093569396,0.036200784171861344
fedavg,42,bearing,adaptive,cnn-ae,test1_bearing1,fuzzy_warning_as_alarm_hi50,0.2017772626291896,0.09689922480620156,0.8876398450946644,0.126684350132626,0.15730472518507826,0.1935055093569396,0.036200784171861344
fedavg,42,bearing,adaptive,cnn-ae,test1_bearing1,fuzzy_fault_only_hi75,0.1246787280149171,0.05426356589147287,0.9334660068846816,0.126684350132626,0.15730472518507826,0.1935055093569396,0.036200784171861344
fedavg,42,bearing,client_specific,cnn-ae,test1_bearing2,hard_val_p95,0.08099045653856074,0.031007751937984496,0.9577775387263339,0.07564986737400531,0.08563532956432819,0.12821676948520486,0.042581439920876665
fedavg,42,bearing,client_specific,cnn-ae,test1_bearing2,fuzzy_warning_as_alarm_hi50,0.08099045653856074,0.031007751937984496,0.9577775387263339,0.07564986737400531,0.08563532956432819,0.12821676948520486,0.042581439920876665
fedavg,42,bearing,client_specific,cnn-ae,test1_bearing2,fuzzy_fault_only_hi75,0.04046577796511934,0.011627906976744186,0.9793459552495697,0.07564986737400531,0.08563532956432819,0.12821676948520486,0.042581439920876665
fedavg,42,bearing,pooled,cnn-ae,test1_bearing2,hard_val_p95,0.232529434105583,0.08914728682170543,0.868276678141136,0.1470026525198939,0.142810350357935,0.21185393947848202,0.06904358912054703
fedavg,42,bearing,pooled,cnn-ae,test1_bearing2,fuzzy_warning_as_alarm_hi50,0.232529434105583,0.08914728682170543,0.868276678141136,0.1470026525198939,0.142810350357935,0.21185393947848202,0.06904358912054703
fedavg,42,bearing,pooled,cnn-ae,test1_bearing2,fuzzy_fault_only_hi75,0.1355915217718094,0.046511627906976744,0.9272267641996558,0.1470026525198939,0.142810350357935,0.21185393947848202,0.06904358912054703
fedavg,42,bearing,adaptive,cnn-ae,test1_bearing2,hard_val_p95,0.16218084843695985,0.05813953488372093,0.9116824440619621,0.11973474801061008,0.11747905366071852,0.1740199653676641,0.05654091170694557
fedavg,42,bearing,adaptive,cnn-ae,test1_bearing2,fuzzy_warning_as_alarm_hi50,0.16218084843695985,0.05813953488372093,0.9116824440619621,0.11973474801061008,0.11747905366071852,0.1740199653676641,0.05654091170694557
fedavg,42,bearing,adaptive,cnn-ae,test1_bearing2,fuzzy_fault_only_hi75,0.08985417950297803,0.03488372093023256,0.9529367469879518,0.11973474801061008,0.11747905366071852,0.1740199653676641,0.05654091170694557
fedavg,42,bearing,client_specific,cnn-ae,test1_bearing3,hard_val_p95,0.09512107715148722,0.046511627906976744,0.9500322719449226,0.058992042440318304,0.10446197346902401,0.08931340050303854,-0.015148572965985471
fedavg,42,bearing,client_specific,cnn-ae,test1_bearing3,fuzzy_warning_as_alarm_hi50,0.09512107715148722,0.046511627906976744,0.9500322719449226,0.058992042440318304,0.10446197346902401,0.08931340050303854,-0.015148572965985471
fedavg,42,bearing,client_specific,cnn-ae,test1_bearing3,fuzzy_fault_only_hi75,0.06149676881384199,0.023255813953488372,0.9682659208261618,0.058992042440318304,0.10446197346902401,0.08931340050303854,-0.015148572965985471
fedavg,42,bearing,pooled,cnn-ae,test1_bearing3,hard_val_p95,0.23238601318973287,0.13953488372093023,0.868276678141136,0.14848806366047745,0.2675325594942142,0.21185393947848202,-0.05567862001573215
fedavg,42,bearing,pooled,cnn-ae,test1_bearing3,fuzzy_warning_as_alarm_hi50,0.23238601318973287,0.13953488372093023,0.868276678141136,0.14848806366047745,0.2675325594942142,0.21185393947848202,-0.05567862001573215
fedavg,42,bearing,pooled,cnn-ae,test1_bearing3,fuzzy_fault_only_hi75,0.13552361396303902,0.08527131782945736,0.9272267641996558,0.14848806366047745,0.2675325594942142,0.21185393947848202,-0.05567862001573215
fedavg,42,bearing,adaptive,cnn-ae,test1_bearing3,hard_val_p95,0.13459611144517938,0.08139534883720931,0.9277646299483648,0.08413793103448276,0.16075752488040168,0.12967381608924958,-0.031083708791152104
fedavg,42,bearing,adaptive,cnn-ae,test1_bearing3,fuzzy_warning_as_alarm_hi50,0.13459611144517938,0.08139534883720931,0.9277646299483648,0.08413793103448276,0.16075752488040168,0.12967381608924958,-0.031083708791152104
fedavg,42,bearing,adaptive,cnn-ae,test1_bearing3,fuzzy_fault_only_hi75,0.08286524091728936,0.03488372093023256,0.9567555938037866,0.08413793103448276,0.16075752488040168,0.12967381608924958,-0.031083708791152104
fedavg,42,bearing,client_specific,cnn-ae,test1_bearing4,hard_val_p95,0.13064872464350272,0.08914728682170543,0.9300236660929432,0.06737400530503979,0.12170887584886084,0.10961549647305142,-0.012093379375809413
fedavg,42,bearing,client_specific,cnn-ae,test1_bearing4,fuzzy_warning_as_alarm_hi50,0.13064872464350272,0.08914728682170543,0.9300236660929432,0.06737400530503979,0.12170887584886084,0.10961549647305142,-0.012093379375809413
fedavg,42,bearing,client_specific,cnn-ae,test1_bearing4,fuzzy_fault_only_hi75,0.066829496440264,0.031007751937984496,0.9654152323580034,0.06737400530503979,0.12170887584886084,0.10961549647305142,-0.012093379375809413
fedavg,42,bearing,pooled,cnn-ae,test1_bearing4,hard_val_p95,0.23231987857515535,0.16279069767441862,0.868276678141136,0.1476923076923077,0.23897655744943136,0.21185393947848202,-0.027122617970949336
fedavg,42,bearing,pooled,cnn-ae,test1_bearing4,fuzzy_warning_as_alarm_hi50,0.23231987857515535,0.16279069767441862,0.868276678141136,0.1476923076923077,0.23897655744943136,0.21185393947848202,-0.027122617970949336
