clients_by,training_mode,calibration_scope,model,decision_policy,round,roc_auc,pr_auc,f1,precision,recall,false_alarm_rate,miss_rate,uncertain_rate,mean_health_normal,mean_health_fault,health_gap
bearing,fedbn,pooled,cnn-ae,fuzzy_fault_only_hi75,4,0.7024694390245346,0.9931026037252483,0.48556407463468104,0.9983829307842286,0.321152915232358,0.03855439495467087,0.678847084767642,0.033170370947949286,0.14602179085021322,0.4145372228507038,0.2685154320004906
bearing,fedbn,pooled,cnn-ae,fuzzy_fault_only_hi75,5,0.6968963324014458,0.993005702861188,0.4741256013382645,0.9982800449060201,0.31110379016064255,0.03825329566854991,0.6888962098393575,0.029622779108518706,0.1437307913183787,0.4022884706115218,0.2585576792931431
bearing,fedbn,pooled,cnn-ae,fuzzy_fault_only_hi75,6,0.6936325625835708,0.9929581769118431,0.46879238042192833,0.9983443136017857,0.3065140024383247,0.035901983970568915,0.6934859975616753,0.028771096483640016,0.14115056683163432,0.3955292824770571,0.25437871564542275
bearing,fedbn,pooled,cnn-ae,fuzzy_fault_only_hi75,7,0.693250055317038,0.9930044472070966,0.46437544284448906,0.9983905348129221,0.30272429001721174,0.034196667104629264,0.6972757099827883,0.02919093957947563,0.14052445196166882,0.39197635243689527,0.2514519004752265
bearing,fedbn,pooled,cnn-ae,fuzzy_fault_only_hi75,8,0.69286990028073,0.9930129297170968,0.46253741823708566,0.9983421892602462,0.3011756848823867,0.03554887662593614,0.6988243151176133,0.028167436184105277,0.14090768449748234,0.38991128085210924,0.24900359635462688
bearing,fedbn,pooled,cnn-ae,fuzzy_fault_only_hi75,9,0.6939182626931856,0.9930797602531413,0.46202384329337115,0.9983016937615732,0.3007610800344234,0.03597315289274296,0.6992389199655765,0.02860455057171204,0.14009914430138284,0.38982406441567913,0.24972492011429626
bearing,fedbn,pooled,cnn-ae,fuzzy_fault_only_hi75,10,0.6955070280366243,0.9931705941753806,0.4609542554827664,0.9982883455137785,0.29988032487091226,0.03629615030876363,0.7001196751290878,0.030118228092675028,0.14033814004786924,0.390304608829217,0.24996646878134784
bearing,fedbn,pooled,cnn-ae,fuzzy_warning_as_alarm_hi50,1,0.8061775031752947,0.9954250355461527,0.4626545410875585,0.8738296370592628,0.3631198902753872,0.13095902859895767,0.6368801097246127,0.22140947210396156,0.21290078972045134,0.4215092727040488,0.2086084829835975
bearing,fedbn,pooled,cnn-ae,fuzzy_warning_as_alarm_hi50,2,0.7578935802371088,0.9945544633653031,0.5904761982267162,0.9980097477369089,0.4235737593230063,0.10119673279901897,0.5764262406769937,0.08043228451143931,0.1623474778880092,0.4877130344479043,0.3253655565598951
bearing,fedbn,pooled,cnn-ae,fuzzy_warning_as_alarm_hi50,3,0.7406068481598079,0.9940625484695524,0.5628019569231397,0.9974473412903522,0.3944281590648308,0.09131793894801384,0.6055718409351692,0.056624822442577626,0.16026373448810197,0.47517442258771464,0.3149106880996127
bearing,fedbn,pooled,cnn-ae,fuzzy_warning_as_alarm_hi50,4,0.7024694390245346,0.9931026037252483,0.4977369833702379,0.9969900709887237,0.33204245553643147,0.07666261551263522,0.6679575444635685,0.033170370947949286,0.14602179085021322,0.4145372228507038,0.2685154320004906
bearing,fedbn,pooled,cnn-ae,fuzzy_warning_as_alarm_hi50,5,0.6968963324014458,0.993005702861188,0.4844475012160789,0.9969436670333603,0.320180274670109,0.07269905400078834,0.679819725329891,0.029622779108518706,0.1437307913183787,0.4022884706115218,0.2585576792931431
bearing,fedbn,pooled,cnn-ae,fuzzy_warning_as_alarm_hi50,6,0.6936325625835708,0.9929581769118431,0.47909040169553235,0.9970267919937333,0.31550084265633965,0.06819898830639863,0.6844991573436604,0.028771096483640016,0.14115056683163432,0.3955292824770571,0.25437871564542275
