seed,clients_by,training_mode,calibration_scope,round,model,client_id,client_train_count,client_val_count,client_test_normal_count,fault_audit_count,decision_policy,p50,p90,p95,p99,roc_auc,pr_auc,precision,recall,f1,false_alarm_rate,miss_rate,uncertain_rate,mean_health_normal,mean_health_fault,health_gap,tn,fp,fn,tp
42,bearing,fedavg,pooled,1,cnn-ae,test1_bearing4,1207,259,258,18592,fuzzy_warning_as_alarm_hi50,1.0065006613731384,1.0106163024902344,1.0115291893482208,1.0129982388019563,0.4625256632843667,0.9852978175596259,0.9831393014853472,0.13172332185886404,0.23231987857515535,0.16279069767441862,0.868276678141136,0.1476923076923077,0.23897655744943136,0.21185393947848202,-0.027122617970949336,216,42,16143,2449
42,bearing,fedavg,pooled,1,cnn-ae,test1_bearing4,1207,259,258,18592,fuzzy_fault_only_hi75,1.0065006613731384,1.0106163024902344,1.0115291893482208,1.0129982388019563,0.4625256632843667,0.9852978175596259,0.9825708061002179,0.07277323580034424,0.13551004056287244,0.09302325581395349,0.9272267641996558,0.1476923076923077,0.23897655744943136,0.21185393947848202,-0.027122617970949336,234,24,17239,1353
42,bearing,fedavg,adaptive,1,cnn-ae,test1_bearing4,1207,259,258,18592,hard_val_p95,1.0081583230620519,1.011332305049257,1.012009856340006,1.0134573872515262,0.4684963900452308,0.9853725435514753,0.9836829836829837,0.09079173838209983,0.16623990545597794,0.10852713178294573,0.9092082616179001,0.09527851458885941,0.1649600790099535,0.1477224466799798,-0.01723763232997369,230,28,16904,1688
42,bearing,fedavg,adaptive,1,cnn-ae,test1_bearing4,1207,259,258,18592,fuzzy_warning_as_alarm_hi50,1.0081583230620519,1.011332305049257,1.012009856340006,1.0134573872515262,0.4684963900452308,0.9853725435514753,0.9836829836829837,0.09079173838209983,0.16623990545597794,0.10852713178294573,0.9092082616179001,0.09527851458885941,0.1649600790099535,0.1477224466799798,-0.01723763232997369,230,28,16904,1688
42,bearing,fedavg,adaptive,1,cnn-ae,test1_bearing4,1207,259,258,18592,fuzzy_fault_only_hi75,1.0081583230620519,1.011332305049257,1.012009856340006,1.0134573872515262,0.4684963900452308,0.9853725435514753,0.9887766554433222,0.047385972461273664,0.0904378175845609,0.03875968992248062,0.9526140275387264,0.09527851458885941,0.1649600790099535,0.1477224466799798,-0.01723763232997369,248,10,17711,881
42,bearing,fedavg,client_specific,1,cnn-ae,test2_bearing1,552,118,118,18592,hard_val_p95,1.002511978149414,1.0049701452255249,1.0057451844215393,1.0069922614097595,0.8710671985763878,0.9988448725308655,0.9987689782519491,0.7854991394148021,0.8793882097910519,0.15254237288135594,0.21450086058519793,0.08118653126670229,0.20089487364772646,0.7935893620446057,0.5926944883968792,100,18,3988,14604
42,bearing,fedavg,client_specific,1,cnn-ae,test2_bearing1,552,118,118,18592,fuzzy_warning_as_alarm_hi50,1.002511978149414,1.0049701452255249,1.0057451844215393,1.0069922614097595,0.8710671985763878,0.9988448725308655,0.9987689782519491,0.7854991394148021,0.8793882097910519,0.15254237288135594,0.21450086058519793,0.08118653126670229,0.20089487364772646,0.7935893620446057,0.5926944883968792,100,18,3988,14604
42,bearing,fedavg,client_specific,1,cnn-ae,test2_bearing1,552,118,118,18592,fuzzy_fault_only_hi75,1.002511978149414,1.0049701452255249,1.0057451844215393,1.0069922614097595,0.8710671985763878,0.9988448725308655,0.9992767250108491,0.7431153184165232,0.8523659695231044,0.0847457627118644,0.25688468158347677,0.08118653126670229,0.20089487364772646,0.7935893620446057,0.5926944883968792,108,10,4776,13816
42,bearing,fedavg,pooled,1,cnn-ae,test2_bearing1,552,118,118,18592,hard_val_p95,1.0065006613731384,1.0106163024902344,1.0115291893482208,1.0129982388019563,0.8491079177484756,0.9982265129917065,1.0,0.13172332185886404,0.23278361294615274,0.0,0.868276678141136,0.14660609299839658,0.005970213056367946,0.21185393947848202,0.20588372642211408,118,0,16143,2449
42,bearing,fedavg,pooled,1,cnn-ae,test2_bearing1,552,118,118,18592,fuzzy_warning_as_alarm_hi50,1.0065006613731384,1.0106163024902344,1.0115291893482208,1.0129982388019563,0.8491079177484756,0.9982265129917065,1.0,0.13172332185886404,0.23278361294615274,0.0,0.868276678141136,0.14660609299839658,0.005970213056367946,0.21185393947848202,0.20588372642211408,118,0,16143,2449
42,bearing,fedavg,pooled,1,cnn-ae,test2_bearing1,552,118,118,18592,fuzzy_fault_only_hi75,1.0065006613731384,1.0106163024902344,1.0115291893482208,1.0129982388019563,0.8491079177484756,0.9982265129917065,1.0,0.07277323580034424,0.1356731010278265,0.0,0.9272267641996558,0.14660609299839658,0.005970213056367946,0.21185393947848202,0.20588372642211408,118,0,17239,1353
