clients_by,training_mode,calibration_scope,model,decision_policy,false_alarm_rate_std,miss_rate_std,uncertain_rate_std,health_gap_std
bearing,fedprox,adaptive,cnn-ae,fuzzy_fault_only_hi75,0.01962469610954316,0.21408702635328142,0.055329897762992755,0.26227899904840873
bearing,fedprox,adaptive,cnn-ae,fuzzy_warning_as_alarm_hi50,0.035098392058063914,0.20772583965087932,0.055329897762992755,0.26227899904840873
bearing,fedprox,adaptive,cnn-ae,hard_val_p95,0.035098392058063914,0.20772583965087932,0.055329897762992755,0.26227899904840873
bearing,fedprox,client_specific,cnn-ae,fuzzy_fault_only_hi75,0.013951867495159611,0.2744461528467441,0.048631368698183394,0.2696430305235907
bearing,fedprox,client_specific,cnn-ae,fuzzy_warning_as_alarm_hi50,0.014453544771496706,0.27673569625917843,0.048631368698183394,0.2696430305235907
bearing,fedprox,client_specific,cnn-ae,hard_val_p95,0.014453544771496706,0.27673569625917843,0.048631368698183394,0.2696430305235907
bearing,fedprox,pooled,cnn-ae,fuzzy_fault_only_hi75,0.05124249729830411,0.07716777639785025,0.061293813283457343,0.14750664139907302
bearing,fedprox,pooled,cnn-ae,fuzzy_warning_as_alarm_hi50,0.10498110349755359,0.05004871540133645,0.061293813283457343,0.14750664139907302
bearing,fedprox,pooled,cnn-ae,hard_val_p95,0.10498110349755359,0.05004871540133645,0.061293813283457343,0.14750664139907302
bearing,fedprox-personalized,client_specific,cnn-ae,fuzzy_fault_only_hi75,0.009439894960689591,0.2778247780123264,0.017411500649929506,0.28313454042825953
bearing,fedprox-personalized,client_specific,cnn-ae,fuzzy_warning_as_alarm_hi50,0.020605239064724983,0.279170509638047,0.017411500649929506,0.28313454042825953
bearing,fedprox-personalized,client_specific,cnn-ae,hard_val_p95,0.020605239064724983,0.279170509638047,0.017411500649929506,0.28313454042825953
bearing,local-only,client_specific,cnn-ae,fuzzy_fault_only_hi75,0.014846163579726663,0.27961954382970977,0.022879451172305228,0.2596995983479117
bearing,local-only,client_specific,cnn-ae,fuzzy_warning_as_alarm_hi50,0.016586017020479765,0.2715556776667745,0.022879451172305228,0.2596995983479117
bearing,local-only,client_specific,cnn-ae,hard_val_p95,0.016586017020479765,0.2715556776667745,0.022879451172305228,0.2596995983479117
condition,centralized,adaptive,cnn-ae,fuzzy_fault_only_hi75,0.04218293097419974,0.0313205506001587,0.01516977414007249,0.1005599775175954
condition,centralized,adaptive,cnn-ae,fuzzy_warning_as_alarm_hi50,0.10522123551926588,0.024268933315574656,0.01516977414007249,0.1005599775175954
condition,centralized,adaptive,cnn-ae,hard_val_p95,0.10522123551926588,0.024268933315574656,0.01516977414007249,0.1005599775175954
condition,centralized,client_specific,cnn-ae,fuzzy_fault_only_hi75,0.009684234128022178,0.09532997344518444,0.01869560253606042,0.0915063334047795
condition,centralized,client_specific,cnn-ae,fuzzy_warning_as_alarm_hi50,0.006315732916739227,0.10620764802615539,0.01869560253606042,0.0915063334047795
condition,centralized,client_specific,cnn-ae,hard_val_p95,0.006315732916739227,0.10620764802615539,0.01869560253606042,0.0915063334047795
condition,centralized,pooled,cnn-ae,fuzzy_fault_only_hi75,0.12359908833162733,0.0,0.0037817384987521713,0.1339011685813592
condition,centralized,pooled,cnn-ae,fuzzy_warning_as_alarm_hi50,0.17276263167107667,0.0,0.0037817384987521713,0.1339011685813592
condition,centralized,pooled,cnn-ae,hard_val_p95,0.17276263167107667,0.0,0.0037817384987521713,0.1339011685813592
condition,fedavg,adaptive,cnn-ae,fuzzy_fault_only_hi75,0.02281719557092627,0.02858510555278285,0.014040962424436833,0.06770651705627216
condition,fedavg,adaptive,cnn-ae,fuzzy_warning_as_alarm_hi50,0.05318808780256779,0.027327514270246257,0.014040962424436833,0.06770651705627216
condition,fedavg,adaptive,cnn-ae,hard_val_p95,0.05318808780256779,0.027327514270246257,0.014040962424436833,0.06770651705627216
condition,fedavg,client_specific,cnn-ae,fuzzy_fault_only_hi75,0.004532695213097899,0.10035876652429941,0.025126341604931213,0.09744206629766615
condition,fedavg,client_specific,cnn-ae,fuzzy_warning_as_alarm_hi50,0.010406488985354997,0.11116529463712925,0.025126341604931213,0.09744206629766615
condition,fedavg,client_specific,cnn-ae,hard_val_p95,0.010406488985354997,0.11116529463712925,0.025126341604931213,0.09744206629766615
