seed,clients_by,training_mode,round,model,client_id,client_train_count,client_val_count,client_test_normal_count,fault_audit_count,decision_policy,p50,p90,p95,p99,roc_auc,pr_auc,precision,recall,f1,false_alarm_rate,miss_rate,uncertain_rate,mean_health_normal,mean_health_fault,health_gap,tn,fp,fn,tp
202,bearing,federated,10,cnn-ae,K004,171,37,36,1956,hard_val_p95,1.0079199075698853,1.0104082107543946,1.0111785888671876,1.0124030303955078,0.3644626221313338,0.9780730150159499,0.9636363636363636,0.0270961145194274,0.05271009448035803,0.05555555555555555,0.9729038854805726,0.026606425702811246,0.09628179928265362,0.045542618665183394,-0.05073918061747023,34,2,1903,53
202,bearing,federated,10,cnn-ae,K004,171,37,36,1956,fuzzy_warning_as_alarm_hi50,1.0079199075698853,1.0104082107543946,1.0111785888671876,1.0124030303955078,0.3644626221313338,0.9780730150159499,0.9636363636363636,0.0270961145194274,0.05271009448035803,0.05555555555555555,0.9729038854805726,0.026606425702811246,0.09628179928265362,0.045542618665183394,-0.05073918061747023,34,2,1903,53
202,bearing,federated,10,cnn-ae,K004,171,37,36,1956,fuzzy_fault_only_hi75,1.0079199075698853,1.0104082107543946,1.0111785888671876,1.0124030303955078,0.3644626221313338,0.9780730150159499,0.9655172413793104,0.014314928425357873,0.028211586901763223,0.027777777777777776,0.9856850715746421,0.026606425702811246,0.09628179928265362,0.045542618665183394,-0.05073918061747023,35,1,1928,28
202,bearing,federated,10,cnn-ae,K005,172,37,36,1956,hard_val_p95,1.0031342506408691,1.007106566429138,1.0079551696777345,1.0095151901245116,0.6497386957509658,0.9884280388459699,0.9951923076923077,0.2116564417177914,0.3490725126475548,0.05555555555555555,0.7883435582822086,0.14407630522088352,0.09899986801548168,0.24943555979821344,0.15043569178273175,34,2,1542,414
202,bearing,federated,10,cnn-ae,K005,172,37,36,1956,fuzzy_warning_as_alarm_hi50,1.0031342506408691,1.007106566429138,1.0079551696777345,1.0095151901245116,0.6497386957509658,0.9884280388459699,0.9951923076923077,0.2116564417177914,0.3490725126475548,0.05555555555555555,0.7883435582822086,0.14407630522088352,0.09899986801548168,0.24943555979821344,0.15043569178273175,34,2,1542,414
202,bearing,federated,10,cnn-ae,K005,172,37,36,1956,fuzzy_fault_only_hi75,1.0031342506408691,1.007106566429138,1.0079551696777345,1.0095151901245116,0.6497386957509658,0.9884280388459699,0.9962406015037594,0.13548057259713703,0.23852385238523852,0.027777777777777776,0.864519427402863,0.14407630522088352,0.09899986801548168,0.24943555979821344,0.15043569178273175,35,1,1691,265
202,bearing,federated,10,cnn-ae,K006,171,37,36,1956,hard_val_p95,1.0079026222229004,1.0104286193847656,1.0111053705215454,1.0131427812576295,0.30851653033401494,0.9716991623571576,0.9137931034482759,0.0270961145194274,0.05263157894736842,0.1388888888888889,0.9729038854805726,0.030622489959839357,0.16334209813741626,0.044334960642697964,-0.1190071374947183,31,5,1903,53
202,bearing,federated,10,cnn-ae,K006,171,37,36,1956,fuzzy_warning_as_alarm_hi50,1.0079026222229004,1.0104286193847656,1.0111053705215454,1.0131427812576295,0.30851653033401494,0.9716991623571576,0.9137931034482759,0.0270961145194274,0.05263157894736842,0.1388888888888889,0.9729038854805726,0.030622489959839357,0.16334209813741626,0.044334960642697964,-0.1190071374947183,31,5,1903,53
202,bearing,federated,10,cnn-ae,K006,171,37,36,1956,fuzzy_fault_only_hi75,1.0079026222229004,1.0104286193847656,1.0111053705215454,1.0131427812576295,0.30851653033401494,0.9716991623571576,0.9166666666666666,0.011247443762781187,0.022222222222222223,0.05555555555555555,0.9887525562372188,0.030622489959839357,0.16334209813741626,0.044334960642697964,-0.1190071374947183,34,2,1934,22
202,bearing,local-only,10,vae,K001,172,37,36,1956,hard_val_p95,1.0162780284881592,1.017948031425476,1.0186630010604858,1.0195815229415894,0.47937258577596004,0.979686609494442,0.9821428571428571,0.05623721881390593,0.10638297872340426,0.05555555555555555,0.943762781186094,0.10742971887550201,0.16110518246517638,0.15473872963953117,-0.0063664528256452135,34,2,1846,110
202,bearing,local-only,10,vae,K001,172,37,36,1956,fuzzy_warning_as_alarm_hi50,1.0162780284881592,1.017948031425476,1.0186630010604858,1.0195815229415894,0.47937258577596004,0.979686609494442,0.9821428571428571,0.05623721881390593,0.10638297872340426,0.05555555555555555,0.943762781186094,0.10742971887550201,0.16110518246517638,0.15473872963953117,-0.0063664528256452135,34,2,1846,110
202,bearing,local-only,10,vae,K001,172,37,36,1956,fuzzy_fault_only_hi75,1.0162780284881592,1.017948031425476,1.0186630010604858,1.0195815229415894,0.47937258577596004,0.979686609494442,0.9761904761904762,0.020961145194274028,0.04104104104104104,0.027777777777777776,0.9790388548057259,0.10742971887550201,0.16110518246517638,0.15473872963953117,-0.0063664528256452135,35,1,1915,41
202,bearing,local-only,10,vae,K002,172,37,36,1956,hard_val_p95,1.0043070316314697,1.0052173376083373,1.0052432060241698,1.0052936363220215,0.518497216541695,0.983797115787143,0.9922480620155039,0.065439672801636,0.12278177458033573,0.027777777777777776,0.934560327198364,0.015060240963855422,0.08774296710078164,0.13036484165897608,0.04262187455819444,35,1,1828,128
202,bearing,local-only,10,vae,K002,172,37,36,1956,fuzzy_warning_as_alarm_hi50,1.0043070316314697,1.0052173376083373,1.0052432060241698,1.0052936363220215,0.518497216541695,0.983797115787143,0.9922480620155039,0.065439672801636,0.12278177458033573,0.027777777777777776,0.934560327198364,0.015060240963855422,0.08774296710078164,0.13036484165897608,0.04262187455819444,35,1,1828,128
202,bearing,local-only,10,vae,K002,172,37,36,1956,fuzzy_fault_only_hi75,1.0043070316314697,1.0052173376083373,1.0052432060241698,1.0052936363220215,0.518497216541695,0.983797115787143,1.0,0.057770961145194276,0.10923151280811987,0.0,0.9422290388548057,0.015060240963855422,0.08774296710078164,0.13036484165897608,0.04262187455819444,36,0,1843,113
202,bearing,local-only,10,vae,K003,172,37,37,1956,hard_val_p95,1.0104864835739136,1.0117507696151733,1.0120114088058472,1.0121915578842162,0.4839578842646327,0.9741873850039724,0.8787878787878788,0.014826175869120654,0.029160382101558573,0.10810810810810811,0.9851738241308794,0.017059708981435023,0.1427118075304014,0.06818898949221884,-0.07452281803818257,33,4,1927,29
202,bearing,local-only,10,vae,K003,172,37,37,1956,fuzzy_warning_as_alarm_hi50,1.0104864835739136,1.0117507696151733,1.0120114088058472,1.0121915578842162,0.4839578842646327,0.9741873850039724,0.8787878787878788,0.014826175869120654,0.029160382101558573,0.10810810810810811,0.9851738241308794,0.017059708981435023,0.1427118075304014,0.06818898949221884,-0.07452281803818257,33,4,1927,29
202,bearing,local-only,10,vae,K003,172,37,37,1956,fuzzy_fault_only_hi75,1.0104864835739136,1.0117507696151733,1.0120114088058472,1.0121915578842162,0.4839578842646327,0.9741873850039724,0.875,0.010736196319018405,0.021212121212121213,0.08108108108108109,0.9892638036809815,0.017059708981435023,0.1427118075304014,0.06818898949221884,-0.07452281803818257,34,3,1935,21
202,bearing,local-only,10,vae,K004,171,37,36,1956,hard_val_p95,1.010119080543518,1.0107292413711548,1.0109117031097412,1.0109498310089111,0.332843387866394,0.9707014414714018,0.9386503067484663,0.07822085889570553,0.14440773949976404,0.2777777777777778,0.9217791411042945,0.04919678714859438,0.33202317972962564,0.14408051628947707,-0.18794266344014857,26,10,1803,153
202,bearing,local-only,10,vae,K004,171,37,36,1956,fuzzy_warning_as_alarm_hi50,1.010119080543518,1.0107292413711548,1.0109117031097412,1.0109498310089111,0.332843387866394,0.9707014414714018,0.9386503067484663,0.07822085889570553,0.14440773949976404,0.2777777777777778,0.9217791411042945,0.04919678714859438,0.33202317972962564,0.14408051628947707,-0.18794266344014857,26,10,1803,153
202,bearing,local-only,10,vae,K004,171,37,36,1956,fuzzy_fault_only_hi75,1.010119080543518,1.0107292413711548,1.0109117031097412,1.0109498310089111,0.332843387866394,0.9707014414714018,0.9470198675496688,0.07310838445807771,0.13573801613668723,0.2222222222222222,0.9268916155419223,0.04919678714859438,0.33202317972962564,0.14408051628947707,-0.18794266344014857,28,8,1813,143
202,bearing,local-only,10,vae,K005,172,37,36,1956,hard_val_p95,1.0135397911071777,1.014482069015503,1.0151240825653076,1.0154122447967528,0.47634770506703017,0.9813709245291693,1.0,0.007157464212678937,0.014213197969543147,0.0,0.9928425357873211,0.02208835341365462,0.04113405684701552,0.03937803755171547,-0.0017560192953000528,36,0,1942,14
202,bearing,local-only,10,vae,K005,172,37,36,1956,fuzzy_warning_as_alarm_hi50,1.0135397911071777,1.014482069015503,1.0151240825653076,1.0154122447967528,0.47634770506703017,0.9813709245291693,1.0,0.007157464212678937,0.014213197969543147,0.0,0.9928425357873211,0.02208835341365462,0.04113405684701552,0.03937803755171547,-0.0017560192953000528,36,0,1942,14
202,bearing,local-only,10,vae,K005,172,37,36,1956,fuzzy_fault_only_hi75,1.0135397911071777,1.014482069015503,1.0151240825653076,1.0154122447967528,0.47634770506703017,0.9813709245291693,1.0,0.00408997955010225,0.008146639511201629,0.0,0.9959100204498977,0.02208835341365462,0.04113405684701552,0.03937803755171547,-0.0017560192953000528,36,0,1948,8
202,bearing,local-only,10,vae,K006,171,37,36,1956,hard_val_p95,1.0048290491104126,1.0054428100585937,1.0054654836654664,1.0057345914840699,0.531718643490116,0.9772321413674933,0.9193548387096774,0.029141104294478526,0.05649157581764123,0.1388888888888889,0.9708588957055214,0.02208835341365462,0.14292145089952454,0.08389421822532271,-0.05902723267420183,31,5,1899,57
202,bearing,local-only,10,vae,K006,171,37,36,1956,fuzzy_warning_as_alarm_hi50,1.0048290491104126,1.0054428100585937,1.0054654836654664,1.0057345914840699,0.531718643490116,0.9772321413674933,0.9193548387096774,0.029141104294478526,0.05649157581764123,0.1388888888888889,0.9708588957055214,0.02208835341365462,0.14292145089952454,0.08389421822532271,-0.05902723267420183,31,5,1899,57
202,bearing,local-only,10,vae,K006,171,37,36,1956,fuzzy_fault_only_hi75,1.0048290491104126,1.0054428100585937,1.0054654836654664,1.0057345914840699,0.531718643490116,0.9772321413674933,0.9285714285714286,0.013292433537832311,0.02620967741935484,0.05555555555555555,0.9867075664621677,0.02208835341365462,0.14292145089952454,0.08389421822532271,-0.05902723267420183,34,2,1930,26
202,bearing,centralized,20,vae,K001,172,37,36,1956,hard_val_p95,1.0152357816696167,1.0266316413879395,1.0321586370468139,1.035670428276062,0.7401442853896842,0.9934928814432447,1.0,0.4003067484662577,0.5717415115005476,0.0,0.5996932515337423,0.0642570281124498,0.03623967617901766,0.4380918983433968,0.4018522221643791,36,0,1173,783
202,bearing,centralized,20,vae,K001,172,37,36,1956,fuzzy_warning_as_alarm_hi50,1.0152357816696167,1.0266316413879395,1.0321586370468139,1.035670428276062,0.7401442853896842,0.9934928814432447,1.0,0.4003067484662577,0.5717415115005476,0.0,0.5996932515337423,0.0642570281124498,0.03623967617901766,0.4380918983433968,0.4018522221643791,36,0,1173,783
