training_mode,seed,clients_by,calibration_scope,model,client_id,decision_policy,f1,false_alarm_rate,miss_rate,uncertain_rate,mean_health_normal,mean_health_fault,health_gap
centralized,42,bearing,pooled,cnn-ae,K002,hard_val_p95,0.005099439061703213,0.0,0.9974437627811861,0.008032128514056224,0.03156768208962239,0.027823071692475415,-0.0037446103971469774
centralized,42,bearing,pooled,cnn-ae,K002,fuzzy_warning_as_alarm_hi50,0.005099439061703213,0.0,0.9974437627811861,0.008032128514056224,0.03156768208962239,0.027823071692475415,-0.0037446103971469774
centralized,42,bearing,pooled,cnn-ae,K002,fuzzy_fault_only_hi75,0.001021972406745018,0.0,0.9994887525562373,0.008032128514056224,0.03156768208962239,0.027823071692475415,-0.0037446103971469774
centralized,42,bearing,client_specific,cnn-ae,K003,hard_val_p95,0.0010214504596527069,0.02702702702702703,0.9994887525562373,0.0005017561465127947,0.08829258185244436,0.015015082056976029,-0.07327749979546833
centralized,42,bearing,client_specific,cnn-ae,K003,fuzzy_warning_as_alarm_hi50,0.0010214504596527069,0.02702702702702703,0.9994887525562373,0.0005017561465127947,0.08829258185244436,0.015015082056976029,-0.07327749979546833
centralized,42,bearing,client_specific,cnn-ae,K003,fuzzy_fault_only_hi75,0.0,0.02702702702702703,1.0,0.0005017561465127947,0.08829258185244436,0.015015082056976029,-0.07327749979546833
centralized,42,bearing,pooled,cnn-ae,K003,hard_val_p95,0.005083884087442806,0.16216216216216217,0.9974437627811861,0.012042147516307075,0.16092092344042058,0.027823071692475415,-0.13309785174794517
centralized,42,bearing,pooled,cnn-ae,K003,fuzzy_warning_as_alarm_hi50,0.005083884087442806,0.16216216216216217,0.9974437627811861,0.012042147516307075,0.16092092344042058,0.027823071692475415,-0.13309785174794517
centralized,42,bearing,pooled,cnn-ae,K003,fuzzy_fault_only_hi75,0.0010214504596527069,0.02702702702702703,0.9994887525562373,0.012042147516307075,0.16092092344042058,0.027823071692475415,-0.13309785174794517
centralized,42,bearing,client_specific,cnn-ae,K004,hard_val_p95,0.48588007736943906,0.027777777777777776,0.6789366053169734,0.01857429718875502,0.045669336720664915,0.3392177416225132,0.2935484049018483
centralized,42,bearing,client_specific,cnn-ae,K004,fuzzy_warning_as_alarm_hi50,0.48588007736943906,0.027777777777777776,0.6789366053169734,0.01857429718875502,0.045669336720664915,0.3392177416225132,0.2935484049018483
centralized,42,bearing,client_specific,cnn-ae,K004,fuzzy_fault_only_hi75,0.4831329972857697,0.0,0.6814928425357873,0.01857429718875502,0.045669336720664915,0.3392177416225132,0.2935484049018483
centralized,42,bearing,pooled,cnn-ae,K004,hard_val_p95,0.005099439061703213,0.0,0.9974437627811861,0.008032128514056224,0.0006421094543978865,0.027823071692475415,0.02718096223807753
centralized,42,bearing,pooled,cnn-ae,K004,fuzzy_warning_as_alarm_hi50,0.005099439061703213,0.0,0.9974437627811861,0.008032128514056224,0.0006421094543978865,0.027823071692475415,0.02718096223807753
centralized,42,bearing,pooled,cnn-ae,K004,fuzzy_fault_only_hi75,0.001021972406745018,0.0,0.9994887525562373,0.008032128514056224,0.0006421094543978865,0.027823071692475415,0.02718096223807753
centralized,42,bearing,client_specific,cnn-ae,K005,hard_val_p95,0.5968436154949784,0.0,0.5746421267893661,0.06927710843373494,0.06351494914300931,0.44373096782456206,0.38021601868155275
centralized,42,bearing,client_specific,cnn-ae,K005,fuzzy_warning_as_alarm_hi50,0.5968436154949784,0.0,0.5746421267893661,0.06927710843373494,0.06351494914300931,0.44373096782456206,0.38021601868155275
centralized,42,bearing,client_specific,cnn-ae,K005,fuzzy_fault_only_hi75,0.5559246954595792,0.0,0.6150306748466258,0.06927710843373494,0.06351494914300931,0.44373096782456206,0.38021601868155275
centralized,42,bearing,pooled,cnn-ae,K005,hard_val_p95,0.005099439061703213,0.0,0.9974437627811861,0.008032128514056224,0.0,0.027823071692475415,0.027823071692475415
