protocol,heldout_group,model,train_normal_count,val_normal_count,test_normal_count,test_fault_count,threshold_strategy,threshold,roc_auc,pr_auc,precision,recall,f1,false_alarm_rate,miss_rate,tn,fp,fn,tp,best_epoch,best_val_loss,train_seconds,inference_ms_per_window_cpu,model_size_mb,param_count
load-wise,3,lstm-ae,1890,473,947,209,val_p95,0.9812169075012207,1.0,1.0,1.0,1.0,1.0,0.0,0.0,947,0,0,209,97,871.6041717529297,13.364550800062716,0.7776499958708882,0.20862197875976562,54689
load-wise,3,lstm-ae,1890,473,947,209,val_p99,0.9910364747047424,1.0,1.0,1.0,1.0,1.0,0.0,0.0,947,0,0,209,97,871.6041717529297,13.364550800062716,0.7776499958708882,0.20862197875976562,54689
load-wise,3,lstm-ae,1890,473,947,209,train_mad5,1.190021043896675,1.0,1.0,0.0,0.0,0.0,0.0,1.0,947,0,209,0,97,871.6041717529297,13.364550800062716,0.7776499958708882,0.20862197875976562,54689
load-wise,3,iforest,1890,473,947,209,train_p95,0.5428522362108384,0.9761422371326223,0.9261350409103736,0.7530864197530864,0.8755980861244019,0.8097345132743363,0.06335797254487856,0.12440191387559808,887,60,26,183,0,0.0,0.0,0.0,0.0,300
load-wise,3,iforest,1890,473,947,209,train_p99,0.6293547431447936,0.9761422371326223,0.9261350409103736,0.9358974358974359,0.6985645933014354,0.8,0.010559662090813094,0.3014354066985646,937,10,63,146,0,0.0,0.0,0.0,0.0,300
load-wise,3,iforest,1890,473,947,209,val_p95,0.5607463330683652,0.9761422371326223,0.9261350409103736,0.8127853881278538,0.8516746411483254,0.8317757009345794,0.04329461457233368,0.14832535885167464,906,41,31,178,0,0.0,0.0,0.0,0.0,300
load-wise,3,iforest,1890,473,947,209,val_p99,0.636865777218127,0.9761422371326223,0.9261350409103736,0.9358974358974359,0.6985645933014354,0.8,0.010559662090813094,0.3014354066985646,937,10,63,146,0,0.0,0.0,0.0,0.0,300
load-wise,3,iforest,1890,473,947,209,train_mad5,0.6361347414465832,0.9761422371326223,0.9261350409103736,0.9358974358974359,0.6985645933014354,0.8,0.010559662090813094,0.3014354066985646,937,10,63,146,0,0.0,0.0,0.0,0.0,300
fault-size-wise,007,vae,2118,530,662,285,train_p95,0.2489417940378189,1.0,1.0,0.4019746121297602,1.0,0.5734406438631791,0.6404833836858006,0.0,238,424,0,285,25,371.3353542751736,11.50244989991188,1.2453899951651692,16.388729095458984,4295489
fault-size-wise,007,vae,2118,530,662,285,train_p99,0.26329630613327026,1.0,1.0,0.40368271954674223,1.0,0.5751765893037336,0.6359516616314199,0.0,241,421,0,285,25,371.3353542751736,11.50244989991188,1.2453899951651692,16.388729095458984,4295489
fault-size-wise,007,vae,2118,530,662,285,val_p95,0.5025055408477783,1.0,1.0,0.8610271903323263,1.0,0.9253246753246753,0.06948640483383686,0.0,616,46,0,285,25,371.3353542751736,11.50244989991188,1.2453899951651692,16.388729095458984,4295489
fault-size-wise,007,vae,2118,530,662,285,val_p99,0.5265119075775146,1.0,1.0,0.9253246753246753,1.0,0.9612141652613828,0.03474320241691843,0.0,639,23,0,285,25,371.3353542751736,11.50244989991188,1.2453899951651692,16.388729095458984,4295489
fault-size-wise,007,vae,2118,530,662,285,train_mad5,0.3343686969429255,1.0,1.0,0.41007194244604317,1.0,0.5816326530612245,0.6193353474320241,0.0,252,410,0,285,25,371.3353542751736,11.50244989991188,1.2453899951651692,16.388729095458984,4295489
fault-size-wise,007,cnn-ae,2118,530,662,285,train_p95,0.3138948976993561,1.0,1.0,0.40772532188841204,1.0,0.5792682926829268,0.6253776435045317,0.0,248,414,0,285,17,367.4043918185764,8.510960899759084,1.8952250014990568,16.357357025146484,4287265
fault-size-wise,007,cnn-ae,2118,530,662,285,train_p99,0.3298191726207733,1.0,1.0,0.4148471615720524,1.0,0.5864197530864198,0.6072507552870091,0.0,260,402,0,285,17,367.4043918185764,8.510960899759084,1.8952250014990568,16.357357025146484,4287265
fault-size-wise,007,cnn-ae,2118,530,662,285,val_p95,0.4785102605819702,1.0,1.0,0.8610271903323263,1.0,0.9253246753246753,0.06948640483383686,0.0,616,46,0,285,17,367.4043918185764,8.510960899759084,1.8952250014990568,16.357357025146484,4287265
fault-size-wise,007,cnn-ae,2118,530,662,285,val_p99,0.5067945122718811,1.0,1.0,0.9563758389261745,1.0,0.9777015437392796,0.019637462235649546,0.0,649,13,0,285,17,367.4043918185764,8.510960899759084,1.8952250014990568,16.357357025146484,4287265
